class,precision,sensitivity,f1,specificity,accuracy,mcc,dor,TP,FP,FN,TN,anno_set,classifier,metric_type,organ,magnification,model,dropoutFraction,layerDepth,numberOfEpochs,trainPercent,validationPercent,patience,checkPointAccuracy,augmentColor,augmentGeometry,balanceClasses,elasticDeform,fixedDataSeed,augmentation,overlapPredict,pretrained,focalLoss,filterSize,kernelIncrease,normalization,magLayers,model_name,backbone_name,encoder_freeze,decoder_use_batchnorm,middleBlocks,loss,optimizer,learningRate,useFP16,useAllGPUs,time_evaluated,balance only,balance + elastic
Lesions,0.797609024,0.542553212,0.645810375,0.992662728,0.969887688,0.643477436,160.4607568,1964653,498525,1656472,67445662,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,TRUE
Background,0.934052788,0.941693131,0.937857399,0.988104532,0.98106102,0.926696418,1341.562891,10227666,722107,633267,59982272,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_1_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"color, geo",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,
Tissue,0.959028019,0.969805733,0.964386765,0.836687714,0.942867782,0.820375404,164.5526167,55359667,2365098,1723587,12116960,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_1_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"color, geo",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,
Lesions,0.648186264,0.517452449,0.575488041,0.985031626,0.961372641,0.559390737,70.56768665,1873760,1017014,1747365,66927173,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_1_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"color, geo",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,
Background,0.915971962,0.964604882,0.939659583,0.984167897,0.981198964,0.928968959,1694.09077,10476509,961078,384424,59743301,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_1_BC_1_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"color, geo, balance",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,TRUE,FALSE
Tissue,0.979177439,0.969328518,0.974228087,0.918750222,0.959093422,0.8753945,357.3645767,55332426,1176664,1750828,13305394,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_1_BC_1_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"color, geo, balance",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,TRUE,FALSE
Lesions,0.772007401,0.771476544,0.771741881,0.987857357,0.976908729,0.759581188,274.6457975,2793613,825022,827512,67119165,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_1_BC_1_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"color, geo, balance",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,TRUE,FALSE
Background,0.922340889,0.959597117,0.940600227,0.985544371,0.98160655,0.92997891,1619.256925,10422120,877520,438813,59826859,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,TRUE
Tissue,0.969261757,0.976141392,0.97268941,0.877980533,0.956277421,0.863268306,294.3902235,55721327,1767093,1361927,12714965,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,TRUE
Lesions,0.815601177,0.625532121,0.708032678,0.992462608,0.973896334,0.701323687,219.9520786,2265130,512122,1355995,67432065,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_Seg_Model_ML_1_AC_1_AG_1_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,Seg_Model,,,30,70,15,30,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"color, geo, balance, elastic",TRUE,TRUE,,,,,1,unet,efficientnetb0,FALSE,TRUE,,,,,,,,FALSE,TRUE
